
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 011
--------------------------------------------
1 | Ball Receipt | 11:02 | Kobbie Mainoo | Incomplete | Right Defensive Midfield | Right Defensive Midfield | Marc Cucurella Saseta | N/A  
25 | ball receipt | 19:43 | Rodrigo Hernández Cascante | receives the ball | Right Defensive Midfield | Right Defensive Midfield | | 
26 | pass | 19:42 | Marc Cucurella Saseta | passes the ball | Left Back | Left Back | Rodrigo Hernández Cascante | 
27 | pressure | 19:31 | Kobbie Mainoo | applies pressure | Right Defensive Midfield | Right Defensive Midfield | Fabián Ruiz Peña | 
28 | carry | 19:29 | Daniel Olmo Carvajal | carries the ball | Center Attacking Midfield | Center Attacking Midfield | Declan Rice | 
29 | carry | 19:29 | Daniel Olmo Carvajal | carries the ball | Center Attacking Midfield | Center Attacking Midfield | | 
30 | foul won | 19:29 | Daniel Olmo Carvajal | wins a foul | Center Attacking Midfield | Center Attacking Midfield | Declan Rice | 
31 | foul committed | 19:29 | Declan Rice | commits a foul | Left Defensive Midfield | Left Defensive Midfield | Daniel Olmo Carvajal | 
32 | pass | 19:03 | Jordan Pickford | passes the ball | Goalkeeper | Goalkeeper | Marc Guehi | 
33 | ball receipt | 19:05 | Marc Guehi | receives the ball | Left Center Back | Left Center Back | Jordan Pickford | 
34 | carry | 19:05 | Marc Guehi | carries the ball | Left Center Back | Left Center Back | | 
35 | pass | 19:59 | Nicholas Williams Arthuer | passes the ball | Left Wing | Left Wing | Marc Cucurella Saseta | 
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 020
--------------------------------------------
1 | pass | 20:51 | Fabián Ruiz Peña | incomplete | Left Defensive Midfield | Ground Pass | Daniel Olmo Carvajal | result not applicable  
2 | carry | 20:38 | Rodrigo Hernández Cascante | carry | Right Defensive Midfield | result not applicable | result not applicable | result not applicable  
3 | pass | 20:39 | Rodrigo Hernández Cascante | pass | Right Defensive Midfield | Ground Pass | Nicholas Williams Arthuer | result not applicable  
4 | ball receipt | 20:40 | Nicholas Williams Arthuer | receipt | Left Wing | result not applicable | result not applicable | result not applicable  
5 | carry | 20:40 | Nicholas Williams Arthuer | carry | Left Wing | result not applicable | result not applicable | result not applicable  
6 | pass | 20:45 | Nicholas Williams Arthuer | pass | Left Wing | High Pass | Fabián Ruiz Peña | result not applicable  
7 | ball receipt | 20:47 | Fabián Ruiz Peña | receipt | Left Defensive Midfield | result not applicable | result not applicable | result not applicable  
8 | carry | 20:47 | Fabián Ruiz Peña | carry | Left Defensive Midfield | result not applicable | result not applicable | result not applicable  
9 | pressure | 20:47 | Jude Bellingham | pressure | Left Wing | result not applicable | result not applicable | result not applicable  
10 | pressure | 20:50 | Declan Rice | pressure | Left Defensive Midfield | result not applicable | result not applicable | result not applicable  
11 | ball receipt | 20:51 | Daniel Olmo Carvajal | receipt | Center Attacking Midfield | result not applicable | result not applicable | result not applicable  
12 | ball recovery | 20:51 | Kobbie Mainoo | recovery | Right Defensive Midfield | result not applicable | result not applicable | result not applicable  
13 | carry | 20:51 | Kobbie Mainoo | carry | Right Defensive Midfield | result not applicable | result not applicable | result not applicable  
14 | pass | 20:52 | Kobbie Mainoo | pass | Right Defensive Midfield | Ground Pass | Phil Foden | result not applicable  
15 | ball receipt | 20:52 | Phil Foden | receipt | Center Attacking Midfield | result not applicable | result not applicable | result not applicable  
16 | carry | 20:52 | Phil Foden | carry | Center Attacking Midfield | result not applicable | result not applicable | result not applicable  
17 | pressure | 20:53 | Daniel Olmo Carvajal | pressure | Center Attacking Midfield | result not applicable | result not applicable | result not applicable  
18 | pressure | 20:55 | Marc Cucurella Saseta | pressure | Left Back | result not applicable | result not applicable | result not applicable  
19 | pass | 20:56 | Phil Foden | pass | Center Attacking Midfield | Ground Pass | Bukayo Saka | result not applicable  
20 | ball receipt | 20:57 | Bukayo Saka | receipt | Right Wing | result not applicable | result not applicable | result not applicable  
21 | carry | 20:57 | Bukayo Saka | carry | Right Wing | result not applicable | result not applicable | result not applicable  
22 | ball receipt | 20:01 | Marc Cucurella Saseta | receipt | Left Back | result not applicable | result not applicable | result not applicable  
23 | carry | 20:01 | Marc Cucurella Saseta | carry | Left Back | result not applicable | result not applicable | result not applicable  
24 | pressure | 20:02 | Bukayo Saka | pressure | Right Wing | result not applicable | result not applicable | result not applicable  
25 | foul committed | 20:03 | Bukayo Saka | foul | Right Wing | result not applicable | result not applicable | result not applicable  
26 | foul won | 20:03 | Marc Cucurella Saseta | foul | Left Back | result not applicable | result not applicable | result not applicable  
27 | carry | 20:03 | Marc Cucurella Saseta | carry | Left Back | result not applicable | result not applicable | result not applicable  
28 | pass | 20:03 | Marc Cucurella Saseta | pass | Left Back | Ground Pass | Aymeric Laporte | result not applicable  
29 | ball receipt | 20:07 | Aymeric Laporte | receipt | Left Center Back | result not applicable | result not applicable | result not applicable  
30 | carry | 20:07 | Aymeric Laporte | carry | Left Center Back | result not applicable | result not applicable | result not applicable  
31 | pass | 20:17 | Aymeric Laporte | pass | Left Center Back | Ground Pass | Robin Aime Robert Le Normand | result not applicable  
32 | ball receipt | 20:18 | Robin Aime Robert Le Normand | receipt | Right Center Back | result not applicable | result not applicable | result not applicable  
33 | carry | 20:18 | Robin Aime Robert Le Normand | carry | Right Center Back | result not applicable | result not applicable | result not applicable  
34 | pass | 20:17 | Aymeric Laporte | pass | Left Center Back | Ground Pass | Rodrigo Hernández Cascante | result not applicable  
35 | ball receipt | 20:10 | Rodrigo Hernández Cascante | receipt | Right Defensive Midfield | result not applicable | result not applicable | result not applicable  
36 | carry | 20:10 | Rodrigo Hernández Cascante | carry | Right Defensive Midfield | result not applicable | result not applicable | result not applicable  
37 | pass | 20:11 | Rodrigo Hernández Cascante | pass | Right Defensive Midfield | Ground Pass | Aymeric Laporte | result not applicable  
38 | ball receipt | 20:13 | Aymeric Laporte | receipt | Left Center Back | result not applicable | result not applicable | result not applicable  
39 | carry | 20:13 | Aymeric Laporte | carry | Left Center Back | result not applicable | result not applicable | result not applicable  
40 | pass | 20:17 | Aymeric Laporte | pass | Left Center Back | Ground Pass | Robin Aime Robert Le Normand | result not applicable  
41 | ball receipt | 20:18 | Robin Aime Robert Le Normand | receipt | Right Center Back | result not applicable | result not applicable | result not applicable  
42 | carry | 20:18 | Robin Aime Robert Le Normand | carry | Right Center Back | result not applicable | result not applicable | result not applicable  
43 | pass | 20:19 | Robin Aime Robert Le Normand | pass | Right Center Back | Ground Pass | Aymeric Laporte | result not applicable  
44 | ball receipt | 20:20 | Aymeric Laporte | receipt | Left Center Back | result not applicable | result not applicable | result not applicable  
45 | carry | 20:20 | Aymeric Laporte | carry | Left Center Back | result not applicable | result not applicable | result not applicable  
46 | pass | 20:20 | Aymeric Laporte | pass | Left Center Back | Ground Pass | Rodrigo Hernández Cascante | result not applicable  
47 | ball receipt | 20:37 | Rodrigo Hernández Cascante | receipt | Right Defensive Midfield | result not applicable | result not applicable | result not applicable  
48 | carry | 20:37 | Rodrigo Hernández Cascante | carry | Right Defensive Midfield | result not applicable | result not applicable | result not applicable  
