
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 041
--------------------------------------------
1 | carry | 41:05 | Nicholas Williams Arthuer | carries the ball | Left Wing | 49.8, 16.1 | Marc Cucurella Saseta | 
36 | pass | 48:55 | Jude Bellingham | passes ball | Left Wing | Left Wing | Marc Guehi | -
37 | ball receipt | 48:56 | Marc Guehi | receives ball | Left Center Back | Left Center Back | - | -
38 | carry | 48:56 | Marc Guehi | carries ball | Left Center Back | Left Center Back | - | -
39 | pass | 48:56 | Marc Guehi | passes ball | Left Center Back | Left Center Back | Jude Bellingham | -
40 | ball receipt | 48:57 | Jude Bellingham | receives ball | Left Wing | Left Wing | - | -
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 049
--------------------------------------------
1 | carry | 00:49 | John Stones | carries the ball | Right Center Back | 40.8, 51.5 | 40.8, 51.5 | - | -
2 | pass | 00:49 | Jude Bellingham | passes the ball | Left Wing | 40.3, 16.3 | 28.4, 21.6 | Marc Guehi | -
3 | ball receipt | 00:49 | Marc Guehi | receives the ball | Left Center Back | 28.4, 21.6 | 28.4, 21.6 | Jude Bellingham | -
4 | carry | 00:49 | Marc Guehi | carries the ball | Left Center Back | 28.4, 21.6 | 30.4, 27.9 | - | -
5 | pass | 00:49 | Marc Guehi | passes the ball | Left Center Back | 30.4, 27.9 | 29.0, 55.4 | John Stones | -
6 | ball receipt | 00:49 | John Stones | receives the ball | Right Center Back | 29.0, 55.4 | 29.0, 55.4 | Marc Guehi | -
7 | carry | 00:49 | John Stones | carries the ball | Right Center Back | 29.0, 55.4 | 27.8, 52.1 | - | -
8 | pass | 00:49 | John Stones | passes the ball | Right Center Back | 27.8, 52.1 | 15.0, 36.5 | Jordan Pickford | -
9 | ball receipt | 00:49 | Jordan Pickford | receives the ball | Goalkeeper | 15.0, 36.5 | 15.0, 36.5 | John Stones | -
10 | carry | 00:49 | Jordan Pickford | carries the ball | Goalkeeper | 15.0, 36.5 | 14.2, 31.5 | - | -
11 | pressure | 00:49 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | 102.9, 40.8 | - | Jordan Pickford | -
12 | pass | 00:49 | Jordan Pickford | passes the ball | Goalkeeper | 14.2, 31.5 | 64.5, 28.1 | Harry Kane | -
13 | ball receipt | 00:49 | Harry Kane | receives the ball | Center Forward | 63.7, 28.1 | 64.5, 28.1 | Jordan Pickford | -
14 | duel | 00:49 | Harry Kane | loses aerial duel | Center Forward | 64.5, 28.1 | - | - | -
15 | ball receipt | 00:49 | Daniel Carvajal Ramos | receives the ball | Right Back | 53.6, 71.6 | - | - | -
16 | pass | 00:49 | Martín Zubimendi Ibáñez | passes the ball | Right Defensive Midfield | 61.7, 46.9 | 61.7, 46.9 | - | -
17 | pressure | 00:49 | Kobbie Mainoo | applies pressure | Right Defensive Midfield | 57.2, 34.5 | - | - | -
18 | ball receipt | 00:49 | Martín Zubimendi Ibáñez | receives the ball | Right Defensive Midfield | 61.7, 46.9 | 61.7, 46.9 | - | -
19 | carry | 00:49 | Martín Zubimendi Ibáñez | carries the ball | Right Defensive Midfield | 61.7, 46.9 | 62.0, 46.9 | - | -
20 | pass | 00:49 | Daniel Carvajal Ramos | passes the ball | Right Back | 53.6, 71.6 | 61.5, 67.8 | Fabián Ruiz Peña | -
21 | pressure | 00:49 | Jude Bellingham | applies pressure | Left Wing | 57.9, 15.9 | - | - | -
22 | ball receipt | 00:49 | Fabián Ruiz Peña | receives the ball | Left Defensive Midfield | 61.5, 67.8 | 61.5, 67.8 | - | -
23 | carry | 00:49 | Fabián Ruiz Peña | carries the ball | Left Defensive Midfield | 61.5, 67.8 | 57.6, 61.4 | - | -
24 | dispossessed | 00:49 | Fabián Ruiz Peña | is dispossessed | Left Defensive Midfield | 57.6, 61.4 | - | - | -
25 | duel | 00:49 | Kobbie Mainoo | wins tackle | Right Defensive Midfield | 62.5, 18.7 | - | - | -
26 | carry | 00:49 | Kobbie Mainoo | carries the ball | Right Defensive Midfield | 62.5, 18.7 | 63.6, 9.9 | - | -
27 | pass | 00:49 | Kobbie Mainoo | passes the ball | Right Defensive Midfield | 63.6, 9.9 | 70.3, 4.6 | Jude Bellingham | -
28 | ball receipt | 00:49 | Jude Bellingham | receives the ball | Left Wing | 70.3, 4.6 | 70.3, 4.6 | Kobbie Mainoo | -
29 | carry | 00:49 | Jude Bellingham | carries the ball | Left Wing | 70.3, 4.6 | 94.0, 20.2 | - | -
30 | pass | 00:49 | Jude Bellingham | passes the ball | Left Wing | 94.0, 20.2 | 120.0, 15.1 | Luke Shaw | -
31 | pressure | 00:49 | Luke Shaw | applies pressure | Left Back | 109.0, 15.7 | - | - | -
32 | ball receipt | 00:49 | Luke Shaw | receives the ball | Left Back | 102.2, 11.2 | 120.0, 15.1 | - | - |
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 050
--------------------------------------------
1 | ball receipt | 50:58 | Jude Bellingham | received the ball | Left Wing | Left Wing | - | -
2 | carry | 50:58 | Jude Bellingham | carried the ball | Left Wing | Left Wing | - | -
3 | pass | 50:13 | Unai Simón Mendibil | passed the ball | Goalkeeper | Goalkeeper | Robin Aime Robert Le Normand | -
4 | ball receipt | 50:14 | Robin Aime Robert Le Normand | received the ball | Right Center Back | Right Center Back | - | -
5 | carry | 50:14 | Robin Aime Robert Le Normand | carried the ball | Right Center Back | Right Center Back | - | -
6 | pass | 50:20 | Robin Aime Robert Le Normand | passed the ball | Right Center Back | Right Center Back | Lamine Yamal Nasraoui Ebana | incomplete
7 | ball receipt | 50:23 | Lamine Yamal Nasraoui Ebana | received the ball | Right Wing | Right Wing | - | -
8 | duel | 50:23 | Lamine Yamal Nasraoui Ebana | lost an aerial duel | Right Wing | Right Wing | - | -
9 | pass | 50:23 | Marc Guehi | passed the ball | Left Center Back | Left Center Back | Declan Rice | -
10 | ball receipt | 50:24 | Declan Rice | received the ball | Left Defensive Midfield | Left Defensive Midfield | - | -
11 | pass | 50:24 | Declan Rice | passed the ball | Left Defensive Midfield | Left Defensive Midfield | Luke Shaw | -
12 | ball receipt | 50:26 | Luke Shaw | received the ball | Left Back | Left Back | - | -
13 | carry | 50:26 | Luke Shaw | carried the ball | Left Back | Left Back | - | -
14 | pass | 50:31 | Luke Shaw | passed the ball | Left Back | Left Back | Kobbie Mainoo | -
15 | ball receipt | 50:32 | Kobbie Mainoo | received the ball | Right Defensive Midfield | Right Defensive Midfield | - | -
16 | carry | 50:32 | Kobbie Mainoo | carried the ball | Right Defensive Midfield | Right Defensive Midfield | - | -
17 | pass | 50:34 | Kobbie Mainoo | passed the ball | Right Defensive Midfield | Right Defensive Midfield | Declan Rice | -
18 | ball receipt | 50:34 | Declan Rice | received the ball | Left Defensive Midfield | Left Defensive Midfield | - | -
19 | carry | 50:34 | Declan Rice | carried the ball | Left Defensive Midfield | Left Defensive Midfield | - | -
20 | pass | 50:39 | Declan Rice | passed the ball | Left Defensive Midfield | Left Defensive Midfield | Kyle Walker | -
21 | ball receipt | 50:41 | Kyle Walker | received the ball | Right Back | Right Back | - | -
22 | carry | 50:41 | Kyle Walker | carried the ball | Right Back | Right Back | - | -
23 | pass | 50:42 | Kyle Walker | passed the ball | Right Back | Right Back | Bukayo Saka | -
24 | ball receipt | 50:44 | Bukayo Saka | received the ball | Right Wing | Right Wing | - | -
25 | carry | 50:44 | Bukayo Saka | carried the ball | Right Wing | Right Wing | - | -
26 | pass | 50:50 | Bukayo Saka | passed the ball | Right Wing | Right Wing | Phil Foden | -
27 | ball receipt | 50:51 | Phil Foden | received the ball | Center Attacking Midfield | Center Attacking Midfield | - | -
28 | carry | 50:51 | Phil Foden | carried the ball | Center Attacking Midfield | Center Attacking Midfield | - | -
29 | pass | 50:52 | Phil Foden | passed the ball | Center Attacking Midfield | Center Attacking Midfield | Declan Rice | -
30 | ball receipt | 50:54 | Declan Rice | received the ball | Left Defensive Midfield | Left Defensive Midfield | - | -
31 | carry | 50:54 | Declan Rice | carried the ball | Left Defensive Midfield | Left Defensive Midfield | - | -
32 | pass | 50:54 | Declan Rice | passed the ball | Left Defensive Midfield | Left Defensive Midfield | Luke Shaw | -
33 | ball receipt | 50:56 | Luke Shaw | received the ball | Left Back | Left Back | - | -
34 | carry | 50:56 | Luke Shaw | carried the ball | Left Back | Left Back | - | -
35 | pass | 50:57 | Luke Shaw | passed the ball | Left Back | Left Back | Jude Bellingham | -
